split,threshold_key,decision_count,positive_count,negative_count,min_score,max_score,mean_score
test,capitalization_sentence_start_threshold,69,6,63,0.061981201171875,0.99755859375,0.5170522496320199
test,colon_threshold,206,206,0,0.99365234375,0.99755859375,0.9966507698725728
test,comma_conjunction_threshold,166,144,22,0.0341796875,0.998046875,0.9138003429734564
test,comma_subordinate_threshold,330,265,65,0.0023784637451171875,1.0,0.7706312237363873
test,comma_threshold,339,339,0,0.94775390625,0.9990234375,0.9857174133480826
test,cy_exception_threshold,71,71,0,0.564453125,0.63427734375,0.5893829775528169
test,dash_threshold,89,89,0,0.9990234375,0.99951171875,0.999412965238764
test,default_threshold,734,650,84,0.00916290283203125,0.998046875,0.8666597620992634
test,dictionary_fuzzy_threshold,929,249,680,0.0271759033203125,0.9990234375,0.41367129027137717
test,direct_speech_colon_threshold,366,135,231,0.0003936290740966797,0.91943359375,0.3651742355419638
test,direct_speech_quotes_threshold,843,270,573,2.110004425048828e-05,0.99853515625,0.35908672570616607
test,double_consonant_candidate_threshold,148,132,16,0.1405029296875,0.99853515625,0.5192846349767737
test,extra_letter_candidate_threshold,291,101,190,0.059112548828125,0.94677734375,0.34391936731502365
test,final_punctuation_threshold,39,13,26,0.05059814453125,0.97509765625,0.5524276342147436
test,frequent_error_exact_threshold,6,5,1,0.10858154296875,0.61181640625,0.339935302734375
test,hyphen_koe_koy_threshold,152,151,1,0.458251953125,0.96142578125,0.48615305047286184
test,hyphen_particles_threshold,112,112,0,0.5361328125,0.93017578125,0.5547528948102679
test,hyphen_po_adverbs_threshold,120,106,14,0.1873779296875,0.9853515625,0.44709879557291665
test,hyphen_threshold,95,94,1,0.1402587890625,0.43212890625,0.2968017578125
test,introductory_comma_threshold,137,134,3,0.0192718505859375,0.99658203125,0.9636210420705976
test,keyboard_typo_candidate_threshold,226,95,131,0.0154876708984375,0.9248046875,0.40476368591848727
test,missing_letter_candidate_threshold,146,95,51,0.06817626953125,0.73828125,0.4747414784888699
test,n_nn_adjective_threshold,27,0,27,0.0867919921875,0.97119140625,0.36159487123842593
test,n_nn_deverbal_adjective_threshold,94,94,0,0.5849609375,0.67041015625,0.634028008643617
test,n_nn_participle_threshold,8,0,8,0.0160980224609375,0.73046875,0.3759727478027344
test,n_nn_short_form_threshold,161,0,161,0.0102081298828125,0.99560546875,0.35961032654187697
test,ne_adjective_threshold,149,87,62,0.007404327392578125,0.998046875,0.5794581982913434
test,ne_adverb_threshold,169,114,55,0.00621795654296875,0.9736328125,0.5850765973153199
test,ne_participle_threshold,149,113,36,0.00867462158203125,0.9287109375,0.6927173793715918
test,quote_close_threshold,369,4,365,2.467632293701172e-05,0.028656005859375,0.0013018458839354477
test,quote_open_threshold,370,3,367,0.00014543533325195312,0.0139007568359375,0.002564088073936669
test,spelling_threshold,152,6,146,0.03253173828125,0.99951171875,0.5582472148694491
test,split_join_threshold,1113,787,326,0.0240478515625,0.8857421875,0.49632642939619837
test,subject_predicate_dash_threshold,148,138,10,0.0210113525390625,0.998046875,0.9316218608134502
test,swapped_letters_candidate_threshold,129,119,10,0.13427734375,0.9541015625,0.7533839026162791
val,bracket_pair_balance_threshold,2,0,2,0.01406097412109375,0.01406097412109375,0.01406097412109375
val,capitalization_ner_threshold,4,0,4,0.83203125,0.900390625,0.8662109375
val,capitalization_sentence_start_threshold,65,1,64,0.2381591796875,0.9931640625,0.6056227463942307
val,colon_threshold,160,160,0,0.9951171875,0.99755859375,0.99678955078125
val,comma_conjunction_threshold,208,200,8,0.028594970703125,0.99853515625,0.9678316849928635
val,comma_subordinate_threshold,239,168,71,0.0023975372314453125,1.0,0.7046132746101922
val,comma_threshold,426,426,0,0.94580078125,0.9990234375,0.9862639377934272
