matrix_key,orfogrammka_id,title,rule_id,status,training_eligibility_decision,reason,risk_level,requires,current_candidate_path,current_synthetic_support,current_validator_support,current_candidate_recall,current_f1,needs_before_training
orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",pattern_чя_ча,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",pattern_щя_ща,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",pattern_чю_чу,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",pattern_щю_щу,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",pattern_жы_жи,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",pattern_шы_ши,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",pattern_цы_ци,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",cy_exception,implemented,INCLUDE_AFTER_TRAINING,candidate path verified; current blocker is model training distribution,medium,"[""dictionary""]",True,True,False,1.0,0.2456140350877192,"[""more_training""]"
orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,pattern_жо_же,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,pattern_шо_ше,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,True,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,pattern_чо_че,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,True,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,pattern_що_ще,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_4_1,1.1.4.1,Разделительные «ъ» и «ь»,soft_to_hard_sign,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_4_1,1.1.4.1,Разделительные «ъ» и «ь»,missing_hard_sign,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,True,1.0,0.0,"[""threshold_calibration""]"
orthography_1_1_4_4,1.1.4.4,Буква «ь» не после шипящих в некоторых грамматических формах,tsya_soft_insert,model_required,INCLUDE_AFTER_VALIDATOR,candidate path verified; validator guards and hard negatives are required before dataset build,high,"[""model"", ""morphology"", ""syntax""]",True,True,True,1.0,0.0,"[""validator"", ""hard_negatives""]"
orthography_1_1_4_4,1.1.4.4,Буква «ь» не после шипящих в некоторых грамматических формах,tsya_soft_delete,model_required,INCLUDE_AFTER_VALIDATOR,candidate path verified; validator guards and hard negatives are required before dataset build,high,"[""model"", ""morphology"", ""syntax""]",True,True,True,1.0,0.0,"[""validator"", ""hard_negatives""]"
orthography_1_2_3_2,1.2.3.2,Приставки при- и пре-,prefix_pre_pri,model_required,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary"", ""model""]",True,True,True,1.0,0.0,"[""threshold_calibration""]"
orthography_1_2_9_8,1.2.9.8,Частица «ни» в устойчивых сочетаниях,ni_stable_expression,model_required,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,high,"[""model"", ""morphology"", ""syntax""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_3_1_4,1.3.1.4,Правописание приставок на «з» и «с»,sdelat_prefix,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_3_1_4,1.3.1.4,Правописание приставок на «з» и «с»,prefix_z_to_s,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_3_1_4,1.3.1.4,Правописание приставок на «з» и «с»,prefix_s_to_z,implemented,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_3_6_5,1.3.6.5,Двойное «н» и одно «н» в суффиксах прилагательных и существительных,n_nn_adjective,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_3_6_6,1.3.6.6,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,n_nn_participle,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_3_6_7,1.3.6.7,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,n_nn_deverbal_adjective,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
orthography_1_3_6_8,1.3.6.8,"Двойное н и одно н в словах, образованных от прилагательных и причастий",n_nn_short_form,partial,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,medium,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",True,True,False,1.0,0.0,"[""threshold_calibration""]"
