rule_id,matrix_group,status,candidate_path_exists,synthetic_support,hard_negative_support,validator_support,candidate_recall,current_f1,activation_decision,reason
abbreviation_case_protection,abbreviations_initial,NEEDS_VALIDATOR,True,False,False,False,1.0,0.0,EXCLUDE,blocked by NEEDS_VALIDATOR
asyndetic_dash,complex_sentence_asyndetic,NEEDS_RULE_IMPLEMENTATION,False,False,False,True,0.0,0.0,EXCLUDE,blocked by NEEDS_SYNTAX_FEATURES
bracket_pair_balance,quotes_brackets,NEEDS_THRESHOLD,True,False,False,True,1.0,0.0,EXCLUDE,blocked by NEEDS_THRESHOLD_CALIBRATION
capitalization_ner,capitalization_names,NEEDS_RULE_IMPLEMENTATION,False,False,False,True,0.0,0.0,EXCLUDE,blocked by NEEDS_NER_SUPPORT
capitalization_sentence_start,capitalization_sentence_start,NEEDS_VALIDATOR,True,False,False,False,1.0,0.4,EXCLUDE,blocked by NEEDS_VALIDATOR
consequence_dash,complex_sentence_asyndetic,NEEDS_RULE_IMPLEMENTATION,False,False,False,True,0.0,0.0,EXCLUDE,blocked by NEEDS_SYNTAX_FEATURES
context_chto_by,solid_hyphen_separate_service_words,NEEDS_THRESHOLD,True,False,False,True,1.0,0.0,EXCLUDE,blocked by NEEDS_THRESHOLD_CALIBRATION
context_nesmotrya,solid_hyphen_separate_service_words,NEEDS_THRESHOLD,True,False,False,True,1.0,0.0,EXCLUDE,blocked by NEEDS_THRESHOLD_CALIBRATION
context_tak_zhe,solid_hyphen_separate_service_words,NEEDS_THRESHOLD,True,False,False,True,1.0,0.0,EXCLUDE,blocked by NEEDS_THRESHOLD_CALIBRATION
context_to_zhe,solid_hyphen_separate_service_words,NEEDS_THRESHOLD,True,False,False,False,1.0,0.0,EXCLUDE,blocked by NEEDS_THRESHOLD_CALIBRATION
context_vsledstvie,solid_hyphen_separate_service_words,NEEDS_THRESHOLD,True,False,False,True,1.0,0.0,EXCLUDE,blocked by NEEDS_THRESHOLD_CALIBRATION
context_za_to,solid_hyphen_separate_service_words,NEEDS_THRESHOLD,True,False,False,True,1.0,0.0,EXCLUDE,blocked by NEEDS_THRESHOLD_CALIBRATION
