threshold_key,threshold,positive_fixed,positive_total,negative_overcorrections,negative_total,recommended
ne_verb_threshold,0.09,1,6,0,7,False
ne_verb_threshold,0.07,2,6,0,7,False
ne_verb_threshold,0.06,3,6,0,7,False
ne_verb_threshold,0.05,5,6,0,7,False
ne_verb_threshold,0.045,5,6,0,7,False
ne_verb_threshold,0.04,5,6,0,7,False
ne_verb_threshold,0.035,6,6,0,7,False
ne_verb_threshold,0.03,6,6,0,7,False
ne_verb_threshold,0.02,6,6,0,7,True
capitalization_sentence_start_threshold,0.98,1,6,0,5,False
capitalization_sentence_start_threshold,0.9,2,6,0,5,False
capitalization_sentence_start_threshold,0.85,3,6,0,5,False
capitalization_sentence_start_threshold,0.8,4,6,0,5,False
capitalization_sentence_start_threshold,0.78,4,6,0,5,False
capitalization_sentence_start_threshold,0.76,5,6,0,5,False
capitalization_sentence_start_threshold,0.75,5,6,0,5,False
capitalization_sentence_start_threshold,0.74,6,6,0,5,False
capitalization_sentence_start_threshold,0.72,6,6,0,5,False
capitalization_sentence_start_threshold,0.7,6,6,0,5,True
tsya_threshold,0.995,0,5,0,7,False
tsya_threshold,0.97,0,5,0,7,False
tsya_threshold,0.94,0,5,0,7,False
tsya_threshold,0.9,0,5,0,7,False
tsya_threshold,0.86,0,5,0,7,False
tsya_threshold,0.82,1,5,0,7,False
tsya_threshold,0.8,1,5,0,7,False
tsya_threshold,0.78,1,5,0,7,False
tsya_threshold,0.74,1,5,0,7,True
hyphen_po_adverbs_threshold,0.88,0,5,1,6,True
hyphen_po_adverbs_threshold,0.7,1,5,3,6,False
hyphen_po_adverbs_threshold,0.55,3,5,3,6,False
hyphen_po_adverbs_threshold,0.45,3,5,3,6,False
hyphen_po_adverbs_threshold,0.4,3,5,3,6,False
hyphen_po_adverbs_threshold,0.38,3,5,3,6,False
hyphen_po_adverbs_threshold,0.36,3,5,3,6,False
hyphen_po_adverbs_threshold,0.34,3,5,3,6,False
hyphen_po_adverbs_threshold,0.3,3,5,3,6,False
context_chto_by_threshold,0.995,0,5,0,6,True
context_chto_by_threshold,0.9,0,5,0,6,False
context_chto_by_threshold,0.8,0,5,0,6,False
context_chto_by_threshold,0.7,0,5,0,6,False
context_chto_by_threshold,0.675,0,5,0,6,False
context_chto_by_threshold,0.65,0,5,0,6,False
context_chto_by_threshold,0.6,0,5,0,6,False
context_chto_by_threshold,0.55,0,5,0,6,False
comma_conjunction_threshold,0.995,2,5,0,6,False
comma_conjunction_threshold,0.97,4,5,0,6,False
comma_conjunction_threshold,0.95,5,5,0,6,False
comma_conjunction_threshold,0.94,5,5,0,6,False
comma_conjunction_threshold,0.93,5,5,0,6,False
comma_conjunction_threshold,0.92,5,5,0,6,False
comma_conjunction_threshold,0.9,5,5,0,6,False
comma_conjunction_threshold,0.86,5,5,0,6,False
comma_conjunction_threshold,0.82,5,5,0,6,True
final_punctuation_threshold,0.95,4,6,3,5,True
final_punctuation_threshold,0.93,4,6,4,5,False
final_punctuation_threshold,0.92,4,6,4,5,False
final_punctuation_threshold,0.9,5,6,4,5,False
final_punctuation_threshold,0.88,5,6,5,5,False
final_punctuation_threshold,0.86,5,6,5,5,False
final_punctuation_threshold,0.84,5,6,5,5,False
final_punctuation_threshold,0.8,5,6,5,5,False
final_punctuation_threshold,0.75,5,6,5,5,False
