rule_id,reason
abbreviation_case_protection,below_min_atomic_positive_quota
address_comma,below_min_atomic_positive_quota
apposition_comma,below_min_atomic_positive_quota
asyndetic_dash,below_min_atomic_positive_quota
bracket_pair_balance,below_min_atomic_positive_quota
capitalization_ner,BLOCK_NEEDS_NER
capitalization_sentence_start,below_min_atomic_positive_quota
clarification_comma,below_min_atomic_positive_quota
comma_conjunction,below_min_atomic_positive_quota
comma_subordinate,below_min_atomic_positive_quota
comparative_turnover_comma,below_min_atomic_positive_quota
consequence_dash,below_min_atomic_positive_quota
context_chto_by,below_min_atomic_positive_quota
context_nesmotrya,below_min_atomic_positive_quota
context_tak_zhe,below_min_atomic_positive_quota
context_to_zhe,below_min_atomic_positive_quota
context_vsledstvie,below_min_atomic_positive_quota
context_za_to,below_min_atomic_positive_quota
cy_exception,below_min_atomic_positive_quota
detached_adverbial_comma,below_min_atomic_positive_quota
detached_participial_comma,below_min_atomic_positive_quota
dictionary_fuzzy,below_min_atomic_positive_quota
direct_speech_colon,below_min_atomic_positive_quota
direct_speech_dash,below_min_atomic_positive_quota
direct_speech_quotes,below_min_atomic_positive_quota
double_consonant_candidate,below_min_atomic_positive_quota
enumeration_colon,below_min_atomic_positive_quota
enumeration_dash,below_min_atomic_positive_quota
explanation_colon,below_min_atomic_positive_quota
extra_letter_candidate,below_min_atomic_positive_quota
final_punctuation_default,below_min_atomic_positive_quota
frequent_error_exact,below_min_atomic_positive_quota
homogeneous_comma,below_min_atomic_positive_quota
hyphen_koe_koy,below_min_atomic_positive_quota
hyphen_particles,below_min_atomic_positive_quota
hyphen_po_adverbs,below_min_atomic_positive_quota
hyphen_whitelist,below_min_atomic_positive_quota
introductory_comma,below_min_atomic_positive_quota
keyboard_typo_candidate,below_min_atomic_positive_quota
missing_hard_sign,below_min_atomic_positive_quota
missing_letter_candidate,below_min_atomic_positive_quota
n_nn_adjective,below_min_atomic_positive_quota
n_nn_deverbal_adjective,below_min_atomic_positive_quota
n_nn_participle,below_min_atomic_positive_quota
n_nn_short_form,below_min_atomic_positive_quota
ne_adjective,below_min_atomic_positive_quota
ne_adverb,below_min_atomic_positive_quota
ne_participle,below_min_atomic_positive_quota
ne_predicative,below_min_atomic_positive_quota
ne_short_form,below_min_atomic_positive_quota
ne_verb,below_min_atomic_positive_quota
neural_punctuation,BLOCK_MISSING_MODULE
ni_particle_context,below_min_atomic_positive_quota
ni_stable_expression,below_min_atomic_positive_quota
pattern_жо_же,below_min_atomic_positive_quota
pattern_жы_жи,below_min_atomic_positive_quota
pattern_цы_ци,below_min_atomic_positive_quota
pattern_чо_че,below_min_atomic_positive_quota
pattern_чю_чу,below_min_atomic_positive_quota
pattern_чя_ча,below_min_atomic_positive_quota
pattern_шо_ше,below_min_atomic_positive_quota
pattern_шы_ши,below_min_atomic_positive_quota
pattern_що_ще,below_min_atomic_positive_quota
pattern_щю_щу,below_min_atomic_positive_quota
pattern_щя_ща,below_min_atomic_positive_quota
pol_polu_compounds,below_min_atomic_positive_quota
prefix_pre_pri,below_min_atomic_positive_quota
prefix_s_to_z,below_min_atomic_positive_quota
prefix_z_to_s,below_min_atomic_positive_quota
punctuation_delete_replace,below_min_atomic_positive_quota
quote_close,INCLUDE_AFTER_THRESHOLD_CALIBRATION
quote_open,INCLUDE_AFTER_THRESHOLD_CALIBRATION
quote_pair_balance,below_min_atomic_positive_quota
sdelat_prefix,below_min_atomic_positive_quota
semicolon,below_min_atomic_positive_quota
soft_to_hard_sign,below_min_atomic_positive_quota
subject_predicate_dash,below_min_atomic_positive_quota
swapped_letters_candidate,below_min_atomic_positive_quota
tsya_soft_delete,below_min_atomic_positive_quota
tsya_soft_insert,below_min_atomic_positive_quota
yo_e_candidate,BLOCK_YO_E_DISABLED
