source_dataset,source,target,reason,detected_error_types,candidate_present,char_edit_ratio,token_edit_ratio,notes,edit_summary
sage_ruspellru,﻿есть у вас оформленый и подписаный мною заказ,﻿есть у вас оформленный и подписанный мною заказ,strict_validator_rejected:known_source_lexical_guard,"[""spelling""]",True,0.041666666666666664,0.022727272727272728,spelling_replace:оформленый->оформленный:double_consonant_candidate; spelling_replace:подписаный->подписанный:double_consonant_candidate,spelling_replace:оформленый->оформленный:double_consonant_candidate; spelling_replace:подписаный->подписанный:double_consonant_candidate
sage_ruspellru,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,вот в инете откопал такую интересную статейку предлагаю вашему вниманию,"strict_validator_rejected:morphology_agreement_guard,outside strict spelling/punctuation scope,unsafe_fuzzy_spelling_candidate","[""spelling""]",True,0.056338028169014086,0.046785714285714285,spelling_replace:интеерсную->интересную:swapped_letters_candidate,spelling_replace:интеерсную->интересную:swapped_letters_candidate
sage_ruspellru,двубортное кашемировое пальто песочного цвета классическог фасона,двубортное кашемировое пальто песочного цвета классического фасона,strict_validator_rejected:known_source_lexical_guard,"[""spelling""]",True,0.015151515151515152,0.01098901098901099,spelling_replace:классическог->классического:missing_letter_candidate,spelling_replace:классическог->классического:missing_letter_candidate
sage_ruspellru,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,поговорила с директором и он мне обещал позвонить вечером и сказать берет он меня на работу,unsupported_edit_type,[],False,0.01098901098901099,0.010416666666666666,,
sage_ruspellru,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,съездил потом в ркб оказалось что на нем 3 царапины купил мази и капли,unsupported_edit_type,[],False,0.02857142857142857,0.024489795918367346,,
sage_ruspellru,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,давно стоит понять что в этой жизни никто не сделает так как лучше тебе,"strict_validator_rejected:known_source_lexical_guard,outside strict spelling/punctuation scope","[""spelling""]",True,0.04225352112676056,0.03877551020408164,spelling_replace:зделает->сделает:sdelat_prefix,spelling_replace:зделает->сделает:sdelat_prefix
sage_ruspellru,а вообще конечно не представляю как все писят лет все забавляются над дядькой,а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой,unsupported_edit_type,[],False,0.06172839506172839,0.042735042735042736,,
sage_ruspellru,через пару минут он возращаеться и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы енти это отдельная история енто были огромные бокалы под коктель маргарита,через пару минут он возвращается и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы эти это отдельная история это были огромные бокалы под коктейль маргарита,too_many_tokens,[],False,0.0,0.0,,
sage_ruspellru,живет где надо тормозит где надо разгоняется ставит цели и достегает их или просто сидит дома смотрит аниме,живет где надо тормозит где надо разгоняется ставит цели и достигает их или просто сидит дома смотрит аниме,unsupported_edit_type,[],False,0.009345794392523364,0.006172839506172839,,
sage_ruspellru,на второй день своего прибывания в общаге я заметил теннисный стол в общей комнате в доме напротив,на второй день своего пребывания в общаге я заметил теннисный стол в общей комнате в доме напротив,strict_validator_rejected:known_source_lexical_guard,"[""spelling""]",True,0.01020408163265306,0.0058823529411764705,spelling_replace:прибывания->пребывания:dictionary_fuzzy,spelling_replace:прибывания->пребывания:dictionary_fuzzy
sage_ruspellru,шеф просил учавствовать в тендере ceo,шеф просил участвовать в тендере ceo,strict_validator_rejected:known_source_lexical_guard,"[""spelling""]",True,0.02702702702702703,0.013888888888888888,spelling_replace:учавствовать->участвовать:extra_letter_candidate,spelling_replace:учавствовать->участвовать:extra_letter_candidate
