rule_id,syntax_atomic_positive_count,syntax_hard_negative_count,active,min_required,status,reason
address_comma,0,28,False,2500,under_quota,below_min_atomic_positive_quota
apposition_comma,0,27,False,2500,under_quota,below_min_atomic_positive_quota
asyndetic_dash,0,32,False,2500,under_quota,below_min_atomic_positive_quota
bracket_pair_balance,0,12,False,2500,under_quota,below_min_atomic_positive_quota
clarification_comma,0,28,False,2500,under_quota,below_min_atomic_positive_quota
comma_conjunction,0,26,False,2500,under_quota,below_min_atomic_positive_quota
comma_subordinate,0,25,False,2500,under_quota,below_min_atomic_positive_quota
comparative_turnover_comma,0,50,False,2500,under_quota,below_min_atomic_positive_quota
consequence_dash,0,6,False,2500,under_quota,below_min_atomic_positive_quota
context_chto_by,0,4,False,2500,under_quota,below_min_atomic_positive_quota
context_nesmotrya,0,4,False,2500,under_quota,below_min_atomic_positive_quota
context_tak_zhe,0,7,False,2500,under_quota,below_min_atomic_positive_quota
context_to_zhe,0,4,False,2500,under_quota,below_min_atomic_positive_quota
context_vsledstvie,0,4,False,2500,under_quota,below_min_atomic_positive_quota
context_za_to,0,4,False,2500,under_quota,below_min_atomic_positive_quota
detached_adverbial_comma,0,28,False,2500,under_quota,below_min_atomic_positive_quota
detached_participial_comma,0,26,False,2500,under_quota,below_min_atomic_positive_quota
direct_speech_colon,0,19,False,2500,under_quota,below_min_atomic_positive_quota
direct_speech_dash,0,8,False,2500,under_quota,below_min_atomic_positive_quota
direct_speech_quotes,0,4,False,2500,under_quota,below_min_atomic_positive_quota
enumeration_colon,0,16,False,2500,under_quota,below_min_atomic_positive_quota
enumeration_dash,0,12,False,2500,under_quota,below_min_atomic_positive_quota
explanation_colon,0,6,False,2500,under_quota,below_min_atomic_positive_quota
homogeneous_comma,0,26,False,2500,under_quota,below_min_atomic_positive_quota
introductory_comma,0,26,False,2500,under_quota,below_min_atomic_positive_quota
n_nn_adjective,0,2,False,2500,under_quota,below_min_atomic_positive_quota
n_nn_deverbal_adjective,0,12,False,2500,under_quota,below_min_atomic_positive_quota
n_nn_participle,0,6,False,2500,under_quota,below_min_atomic_positive_quota
n_nn_short_form,0,1,False,2500,under_quota,below_min_atomic_positive_quota
ne_adjective,0,3,False,2500,under_quota,below_min_atomic_positive_quota
ne_adverb,0,2,False,2500,under_quota,below_min_atomic_positive_quota
ne_participle,0,3,False,2500,under_quota,below_min_atomic_positive_quota
ne_predicative,0,4,False,2500,under_quota,below_min_atomic_positive_quota
ne_short_form,0,1,False,2500,under_quota,below_min_atomic_positive_quota
ne_verb,0,5,False,2500,under_quota,below_min_atomic_positive_quota
ni_particle_context,0,12,False,2500,under_quota,below_min_atomic_positive_quota
ni_stable_expression,0,14,False,2500,under_quota,below_min_atomic_positive_quota
punctuation_delete_replace,0,50,False,2500,under_quota,below_min_atomic_positive_quota
quote_pair_balance,0,24,False,2500,under_quota,below_min_atomic_positive_quota
semicolon,0,6,False,2500,under_quota,below_min_atomic_positive_quota
subject_predicate_dash,0,28,False,2500,under_quota,below_min_atomic_positive_quota
tsya_soft_delete,0,8,False,2500,under_quota,below_min_atomic_positive_quota
tsya_soft_insert,0,17,False,2500,under_quota,below_min_atomic_positive_quota
