rule_id,status,reason
abbreviation_case_protection,missing,no_atomic_positive_generated
asyndetic_dash,missing,no_atomic_positive_generated
capitalization_sentence_start,missing,no_atomic_positive_generated
consequence_dash,missing,no_atomic_positive_generated
context_chto_by,missing,no_atomic_positive_generated
context_nesmotrya,missing,no_atomic_positive_generated
context_tak_zhe,missing,no_atomic_positive_generated
context_to_zhe,missing,no_atomic_positive_generated
context_vsledstvie,missing,no_atomic_positive_generated
context_za_to,missing,no_atomic_positive_generated
direct_speech_dash,missing,no_atomic_positive_generated
direct_speech_quotes,missing,no_atomic_positive_generated
enumeration_dash,missing,no_atomic_positive_generated
explanation_colon,missing,no_atomic_positive_generated
frequent_error_exact,missing,no_atomic_positive_generated
hyphen_whitelist,missing,no_atomic_positive_generated
ni_particle_context,missing,no_atomic_positive_generated
ni_stable_expression,missing,no_atomic_positive_generated
prefix_pre_pri,missing,no_atomic_positive_generated
punctuation_delete_replace,missing,no_atomic_positive_generated
semicolon,missing,no_atomic_positive_generated
subject_predicate_dash,missing,no_atomic_positive_generated
tsya_soft_delete,missing,no_atomic_positive_generated
tsya_soft_insert,missing,no_atomic_positive_generated
