source_dataset,raw_id,routing_category,routing_reason,source,target,edit_count,rule_id,rule_ids,detected_error_types,candidate_present,strict_validator_passed,char_edit_ratio,token_edit_ratio,edit_summary
sage_ruspellru,,rejected,strict_validator_rejected:known_source_lexical_guard,﻿есть у вас оформленый и подписаный мною заказ,﻿есть у вас оформленный и подписанный мною заказ,0,unknown,"[""unknown""]","[""spelling""]",True,False,0.041666666666666664,0.022727272727272728,spelling_replace:оформленый->оформленный:double_consonant_candidate; spelling_replace:подписаный->подписанный:double_consonant_candidate
sage_ruspellru,test.json:1,mining,unknown_rule_mining_only,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,вот в инете откопал такую интересную статейку предлагаю вашему вниманию,3,swapped_letters_candidate,"[""swapped_letters_candidate"", ""unknown""]","[""spelling"", ""unknown""]",False,False,0.056338028169014086,0.046785714285714285,spelling_replace:интеерсную->интересную:swapped_letters_candidate; unknown:откапал->откопал:unknown; unknown:внимани->вниманию:unknown
sage_ruspellru,,rejected,strict_validator_rejected:known_source_lexical_guard,двубортное кашемировое пальто песочного цвета классическог фасона,двубортное кашемировое пальто песочного цвета классического фасона,0,unknown,"[""unknown""]","[""spelling""]",True,False,0.015151515151515152,0.01098901098901099,spelling_replace:классическог->классического:missing_letter_candidate
sage_ruspellru,test.json:8,mining,unknown_rule_mining_only,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,поговорила с директором и он мне обещал позвонить вечером и сказать берет он меня на работу,1,unknown,"[""unknown""]","[""unknown""]",False,False,0.01098901098901099,0.010416666666666666,unknown:обежал->обещал:unknown
sage_ruspellru,test.json:9,mining,unknown_rule_mining_only,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,съездил потом в ркб оказалось что на нем 3 царапины купил мази и капли,2,keyboard_typo_candidate,"[""keyboard_typo_candidate"", ""unknown""]","[""spelling"", ""unknown""]",False,False,0.02857142857142857,0.024489795918367346,spelling_replace:схездил->съездил:keyboard_typo_candidate; unknown:птом->потом:unknown
sage_ruspellru,test.json:11,mining,unknown_rule_mining_only,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,давно стоит понять что в этой жизни никто не сделает так как лучше тебе,2,sdelat_prefix,"[""sdelat_prefix"", ""unknown""]","[""spelling"", ""unknown""]",False,False,0.04225352112676056,0.03877551020408164,spelling_replace:зделает->сделает:sdelat_prefix; unknown:лутче->лучше:unknown
sage_ruspellru,test.json:12,mining,unknown_rule_mining_only,а вообще конечно не представляю как все писят лет все забавляются над дядькой,а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой,1,unknown,"[""unknown""]","[""unknown""]",False,False,0.06172839506172839,0.042735042735042736,unknown:писят->пятьдесят:unknown
sage_ruspellru,test.json:16,holdout,explicit_source_split,он сейчас в отъезде но почту проверять должен переодически,он сейчас в отъезде но почту проверять должен периодически,1,frequent_error_exact,"[""frequent_error_exact""]","[""spelling""]",True,True,0.017241379310344827,0.009259259259259259,spelling_replace:переодически->периодически:frequent_error_exact
sage_ruspellru,,rejected,too_many_tokens,через пару минут он возращаеться и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы енти это отдельная история енто были огромные бокалы под коктель маргарита,через пару минут он возвращается и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы эти это отдельная история это были огромные бокалы под коктейль маргарита,0,unknown,"[""unknown""]",[],False,False,0.0,0.0,
sage_ruspellru,test.json:19,mining,unknown_rule_mining_only,живет где надо тормозит где надо разгоняется ставит цели и достегает их или просто сидит дома смотрит аниме,живет где надо тормозит где надо разгоняется ставит цели и достигает их или просто сидит дома смотрит аниме,1,unknown,"[""unknown""]","[""unknown""]",False,False,0.009345794392523364,0.006172839506172839,unknown:достегает->достигает:unknown
